,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
880,AAPL130607C00330000,AAPL,2013-06-07,call,330.0,A,118.45,,120.1,,0,0,2013-06-04,1.0,0.0,-0.9032,0.0,0.3519
881,AAPL130607P00330000,AAPL,2013-06-07,put,330.0,A,0.0,,0.01,,0,325,2013-06-04,0.0,0.0,0.0,0.0,0.4078
882,AAPL130607C00340000,AAPL,2013-06-07,call,340.0,A,108.45,,110.1,,0,0,2013-06-04,1.0,0.0,-0.9306,0.0,0.3519
883,AAPL130607P00340000,AAPL,2013-06-07,put,340.0,A,0.0,,0.01,,0,102,2013-06-04,0.0,0.0,0.0,0.0,0.4078
884,AAPL130607C00350000,AAPL,2013-06-07,call,350.0,A,99.0,,99.95,,0,1,2013-06-04,1.0,0.0,-0.9579,0.0,0.3519
885,AAPL130607P00350000,AAPL,2013-06-07,put,350.0,A,0.0,,0.01,,0,4,2013-06-04,0.0,0.0,0.0,0.0,0.4078
886,AAPL130607C00355000,AAPL,2013-06-07,call,355.0,A,93.45,,95.1,,0,1,2013-06-04,1.0,0.0,-0.9716,0.0,0.3519
887,AAPL130607P00355000,AAPL,2013-06-07,put,355.0,A,0.0,,0.01,,0,24,2013-06-04,0.0,0.0,0.0,0.0,0.4078
888,AAPL130607C00360000,AAPL,2013-06-07,call,360.0,A,88.45,,90.15,,0,0,2013-06-04,1.0,0.0,-0.9853,0.0,0.3519
889,AAPL130607P00360000,AAPL,2013-06-07,put,360.0,A,0.0,,0.01,,0,51,2013-06-04,0.0,0.0,0.0,0.0,0.4078
890,AAPL130607C00365000,AAPL,2013-06-07,call,365.0,A,83.45,,85.15,,0,2,2013-06-04,1.0,0.0,-0.999,0.0,0.3519
891,AAPL130607P00365000,AAPL,2013-06-07,put,365.0,A,0.0,,0.02,,6,137,2013-06-04,0.0,0.0,0.0,0.0,0.4078
892,AAPL130607C00370000,AAPL,2013-06-07,call,370.0,A,78.4,,80.15,,0,1,2013-06-04,1.0,0.0,-1.0127,0.0,0.3519
893,AAPL130607P00370000,AAPL,2013-06-07,put,370.0,A,0.0,,0.02,,9,242,2013-06-04,0.0,0.0,0.0,0.0,0.4078
894,AAPL130607C00375000,AAPL,2013-06-07,call,375.0,A,73.4,,75.1,,0,5,2013-06-04,1.0,0.0,-1.0264,0.0,0.3519
895,AAPL130607P00375000,AAPL,2013-06-07,put,375.0,A,0.0,,0.02,,137,450,2013-06-04,0.0,0.0,-0.0001,0.0,0.4078
896,AAPL130607C00380000,AAPL,2013-06-07,call,380.0,A,68.95,,69.9,,0,10,2013-06-04,1.0,0.0,-1.04,0.0,0.3519
897,AAPL130607P00380000,AAPL,2013-06-07,put,380.0,A,0.01,,0.02,,133,482,2013-06-04,0.0,0.0,-0.0008,0.0,0.4078
