,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
880,AAPL130607C00330000,AAPL,2013-06-07,call,330.0,A,114.35,,115.8,,0,0,2013-06-05,1.0,0.0,-0.9032,0.0,0.5017
881,AAPL130607P00330000,AAPL,2013-06-07,put,330.0,A,0.0,,0.01,,0,325,2013-06-05,0.0,0.0,0.0,0.0,0.4863
882,AAPL130607C00340000,AAPL,2013-06-07,call,340.0,A,104.35,,105.8,,0,0,2013-06-05,1.0,0.0,-0.9306,0.0,0.5017
883,AAPL130607P00340000,AAPL,2013-06-07,put,340.0,A,0.0,,0.01,,0,102,2013-06-05,0.0,0.0,0.0,0.0,0.4863
884,AAPL130607C00350000,AAPL,2013-06-07,call,350.0,A,94.35,,95.8,,0,1,2013-06-05,1.0,0.0,-0.9579,0.0,0.5017
885,AAPL130607P00350000,AAPL,2013-06-07,put,350.0,A,0.0,,0.01,,0,4,2013-06-05,0.0,0.0,0.0,0.0,0.4863
886,AAPL130607C00355000,AAPL,2013-06-07,call,355.0,A,89.35,,90.8,,0,1,2013-06-05,1.0,0.0,-0.9716,0.0,0.5017
887,AAPL130607P00355000,AAPL,2013-06-07,put,355.0,A,0.0,,0.01,,0,24,2013-06-05,0.0,0.0,0.0,0.0,0.4863
888,AAPL130607C00360000,AAPL,2013-06-07,call,360.0,A,84.35,,85.8,,0,0,2013-06-05,1.0,0.0,-0.9853,0.0,0.5017
889,AAPL130607P00360000,AAPL,2013-06-07,put,360.0,A,0.0,,0.01,,0,51,2013-06-05,0.0,0.0,0.0,0.0,0.4863
890,AAPL130607C00365000,AAPL,2013-06-07,call,365.0,A,79.35,,80.8,,0,2,2013-06-05,1.0,0.0,-0.999,0.0,0.5017
891,AAPL130607P00365000,AAPL,2013-06-07,put,365.0,A,0.0,,0.05,,0,143,2013-06-05,0.0,0.0,0.0,0.0,0.4863
892,AAPL130607C00370000,AAPL,2013-06-07,call,370.0,A,74.35,,75.8,,0,1,2013-06-05,1.0,0.0,-1.0127,0.0,0.5017
893,AAPL130607P00370000,AAPL,2013-06-07,put,370.0,A,0.0,,0.02,,0,251,2013-06-05,0.0,0.0,0.0,0.0,0.4863
894,AAPL130607C00375000,AAPL,2013-06-07,call,375.0,A,69.4,,70.85,,0,5,2013-06-05,1.0,0.0,-1.0264,0.0,0.5017
895,AAPL130607P00375000,AAPL,2013-06-07,put,375.0,A,0.0,,0.01,,141,481,2013-06-05,0.0,0.0,0.0,0.0,0.4863
896,AAPL130607C00380000,AAPL,2013-06-07,call,380.0,A,64.55,,65.7,,0,10,2013-06-05,1.0,0.0,-1.0409,0.0,0.5017
