,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
914,AAPL130607C00330000,AAPL,2013-06-07,call,330.0,A,107.65,,109.05,,0,0,2013-06-06,1.0,0.0,-0.9032,0.0,0.7453
915,AAPL130607P00330000,AAPL,2013-06-07,put,330.0,A,0.0,,0.01,,0,325,2013-06-06,0.0,0.0,0.0,0.0,0.9031
916,AAPL130607C00340000,AAPL,2013-06-07,call,340.0,A,97.65,,99.1,,0,0,2013-06-06,1.0,0.0,-0.9306,0.0,0.7453
917,AAPL130607P00340000,AAPL,2013-06-07,put,340.0,A,0.0,,0.01,,0,102,2013-06-06,0.0,0.0,0.0,0.0,0.9031
918,AAPL130607C00350000,AAPL,2013-06-07,call,350.0,A,87.65,,89.1,,0,1,2013-06-06,1.0,0.0,-0.9579,0.0,0.7453
919,AAPL130607P00350000,AAPL,2013-06-07,put,350.0,A,0.0,,0.01,,0,4,2013-06-06,0.0,0.0,0.0,0.0,0.9031
920,AAPL130607C00355000,AAPL,2013-06-07,call,355.0,A,82.65,,84.1,,0,1,2013-06-06,1.0,0.0,-0.9716,0.0,0.7453
921,AAPL130607P00355000,AAPL,2013-06-07,put,355.0,A,0.0,,0.06,,0,24,2013-06-06,0.0,0.0,0.0,0.0,0.9031
922,AAPL130607C00360000,AAPL,2013-06-07,call,360.0,A,77.65,,79.1,,0,0,2013-06-06,1.0,0.0,-0.9853,0.0,0.7453
923,AAPL130607P00360000,AAPL,2013-06-07,put,360.0,A,0.0,,0.03,,0,51,2013-06-06,0.0,0.0,0.0,0.0,0.9031
924,AAPL130607C00365000,AAPL,2013-06-07,call,365.0,A,72.65,,74.1,,0,2,2013-06-06,1.0,0.0,-0.999,0.0,0.7453
925,AAPL130607P00365000,AAPL,2013-06-07,put,365.0,A,0.0,,0.25,,0,143,2013-06-06,0.0,0.0,0.0,0.0,0.9031
926,AAPL130607C00370000,AAPL,2013-06-07,call,370.0,A,67.65,,69.1,,0,1,2013-06-06,1.0,0.0,-1.0127,0.0,0.7453
927,AAPL130607P00370000,AAPL,2013-06-07,put,370.0,A,0.0,,0.04,,27,251,2013-06-06,0.0,0.0,0.0,0.0,0.9031
928,AAPL130607C00375000,AAPL,2013-06-07,call,375.0,A,62.6,,64.1,,0,5,2013-06-06,1.0,0.0,-1.0264,0.0,0.7453
929,AAPL130607P00375000,AAPL,2013-06-07,put,375.0,A,0.01,,0.04,,20,590,2013-06-06,0.0,0.0,-0.0002,0.0,0.9031
930,AAPL130607C00380000,AAPL,2013-06-07,call,380.0,A,57.6,,59.15,,0,10,2013-06-06,1.0,0.0,-1.0401,0.0,0.7453
931,AAPL130607P00380000,AAPL,2013-06-07,put,380.0,A,0.01,,0.03,,111,667,2013-06-06,0.0,0.0,-0.0026,0.0,0.9031
932,AAPL130607C00385000,AAPL,2013-06-07,call,385.0,A,52.6,,54.1,,0,1,2013-06-06,1.0,0.0,-1.0539,0.0,0.7453
933,AAPL130607P00385000,AAPL,2013-06-07,put,385.0,A,0.01,,0.04,,147,691,2013-06-06,0.0,0.0,-0.0288,0.0001,0.9031
934,AAPL130607C00390000,AAPL,2013-06-07,call,390.0,A,47.75,,49.0,,0,22,2013-06-06,1.0,0.0,-1.0702,0.0,0.7453
