,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
876,AAPL130614C00320000,AAPL,2013-06-14,call,320.0,A,118.45,,119.2,,1,0,2013-06-10,1.0,0.0,-0.8758,0.0,0.3716
877,AAPL130614P00320000,AAPL,2013-06-14,put,320.0,A,0.0,,0.01,,0,10,2013-06-10,0.0,0.0,0.0,0.0,0.4187
878,AAPL130614C00330000,AAPL,2013-06-14,call,330.0,A,108.05,,109.55,,0,0,2013-06-10,1.0,0.0,-0.9032,0.0,0.3716
879,AAPL130614P00330000,AAPL,2013-06-14,put,330.0,A,0.01,,0.02,,36,15,2013-06-10,0.0,0.0,0.0,0.0,0.4187
880,AAPL130614C00340000,AAPL,2013-06-14,call,340.0,A,98.05,,99.55,,0,0,2013-06-10,1.0,0.0,-0.9306,0.0,0.3716
881,AAPL130614P00340000,AAPL,2013-06-14,put,340.0,A,0.01,,0.02,,129,230,2013-06-10,0.0,0.0,0.0,0.0,0.4187
882,AAPL130614C00350000,AAPL,2013-06-14,call,350.0,A,88.0,,89.6,,0,3,2013-06-10,1.0,0.0,-0.9579,0.0,0.3716
883,AAPL130614P00350000,AAPL,2013-06-14,put,350.0,A,0.0,,0.03,,4,1264,2013-06-10,0.0,0.0,0.0,0.0,0.4187
884,AAPL130614C00360000,AAPL,2013-06-14,call,360.0,A,78.0,,79.65,,0,0,2013-06-10,1.0,0.0,-0.9853,0.0,0.3716
885,AAPL130614P00360000,AAPL,2013-06-14,put,360.0,A,0.0,,0.03,,20,102,2013-06-10,0.0,0.0,-0.0016,0.0001,0.4187
886,AAPL130614C00365000,AAPL,2013-06-14,call,365.0,A,72.95,,74.65,,0,0,2013-06-10,1.0,0.0,-0.9994,0.0,0.3716
887,AAPL130614P00365000,AAPL,2013-06-14,put,365.0,A,0.0,,0.05,,0,43,2013-06-10,0.0,0.0,-0.0086,0.0004,0.4187
888,AAPL130614C00370000,AAPL,2013-06-14,call,370.0,A,68.4,,69.2,,0,29,2013-06-10,1.0,0.0,-1.0156,0.0001,0.3716
889,AAPL130614P00370000,AAPL,2013-06-14,put,370.0,A,0.0,,0.04,,18,155,2013-06-10,0.0,0.0,-0.039,0.0017,0.4187
890,AAPL130614C00375000,AAPL,2013-06-14,call,375.0,A,62.85,,64.8,,0,0,2013-06-10,1.0,0.0,-1.0436,0.0008,0.3716
891,AAPL130614P00375000,AAPL,2013-06-14,put,375.0,A,0.01,,0.04,,145,647,2013-06-10,0.0,0.0,-0.1554,0.0068,0.4187
892,AAPL130614C00380000,AAPL,2013-06-14,call,380.0,A,58.35,,59.4,,3,9,2013-06-10,1.0,0.0,-1.1242,0.0041,0.3716
893,AAPL130614P00380000,AAPL,2013-06-14,put,380.0,A,0.02,,0.05,,155,450,2013-06-10,-0.0001,0.0,-0.5443,0.0238,0.4187
894,AAPL130614C00385000,AAPL,2013-06-14,call,385.0,A,53.4,,54.2,,0,48,2013-06-10,0.9999,0.0,-1.4061,0.0173,0.3716
895,AAPL130614P00385000,AAPL,2013-06-14,put,385.0,A,0.02,,0.04,,80,697,2013-06-10,-0.0005,0.0001,-1.6846,0.0735,0.4187
896,AAPL130614C00390000,AAPL,2013-06-14,call,390.0,A,48.4,,49.5,,2,49,2013-06-10,0.9996,0.0001,-2.336,0.0624,0.3716
897,AAPL130614P00390000,AAPL,2013-06-14,put,390.0,A,0.03,,0.07,,449,628,2013-06-10,-0.0015,0.0002,-4.6273,0.2019,0.4187
898,AAPL130614C00395000,AAPL,2013-06-14,call,395.0,A,43.4,,44.1,,0,33,2013-06-10,0.9986,0.0002,-5.0292,0.1941,0.3716
899,AAPL130614P00395000,AAPL,2013-06-14,put,395.0,A,0.06,,0.07,,496,563,2013-06-10,-0.004,0.0007,-11.3311,0.4945,0.4187
900,AAPL130614C00400000,AAPL,2013-06-14,call,400.0,A,38.7,,39.15,,82,287,2013-06-10,0.9957,0.0008,-11.7703,0.525,0.3716
901,AAPL130614P00400000,AAPL,2013-06-14,put,400.0,A,0.08,,0.09,,1885,2037,2013-06-10,-0.0097,0.0015,-24.8385,1.084,0.4187
902,AAPL130614C00405000,AAPL,2013-06-14,call,405.0,A,33.75,,34.5,,35,99,2013-06-10,0.9887,0.0019,-26.3165,1.2397,0.3716
903,AAPL130614P00405000,AAPL,2013-06-14,put,405.0,A,0.13,,0.15,,2258,1560,2013-06-10,-0.0212,0.0028,-48.9345,2.1358,0.4187
904,AAPL130614C00410000,AAPL,2013-06-14,call,410.0,A,28.85,,29.6,,104,63,2013-06-10,0.9736,0.0039,-53.3538,2.5689,0.3716
905,AAPL130614P00410000,AAPL,2013-06-14,put,410.0,A,0.23,,0.26,,2513,2240,2013-06-10,-0.0361,0.0047,-72.9381,3.3259,0.4008
906,AAPL130614C00415000,AAPL,2013-06-14,call,415.0,A,24.1,,24.5,,98,102,2013-06-10,0.9446,0.0072,-96.5418,4.6927,0.3716
907,AAPL130614P00415000,AAPL,2013-06-14,put,415.0,A,0.39,,0.44,,4136,2227,2013-06-10,-0.0596,0.0074,-103.3784,4.9672,0.3804
908,AAPL130614C00420000,AAPL,2013-06-14,call,420.0,A,19.4,,19.7,,473,387,2013-06-10,0.9077,0.0112,-134.5972,6.9382,0.3516
909,AAPL130614P00420000,AAPL,2013-06-14,put,420.0,A,0.69,,0.74,,7629,3805,2013-06-10,-0.0984,0.0114,-143.9244,7.2738,0.3617
910,AAPL130614C00425000,AAPL,2013-06-14,call,425.0,A,14.9,,15.25,,505,428,2013-06-10,0.8444,0.0168,-186.4211,10.0212,0.338
911,AAPL130614P00425000,AAPL,2013-06-14,put,425.0,A,1.25,,1.27,,8428,3349,2013-06-10,-0.1617,0.0168,-194.9787,10.2763,0.3469
912,AAPL130614C00430000,AAPL,2013-06-14,call,430.0,A,10.85,,11.3,,1910,1184,2013-06-10,0.7448,0.0229,-247.0955,13.4733,0.3338
913,AAPL130614P00430000,AAPL,2013-06-14,put,430.0,A,2.18,,2.25,,11771,2569,2013-06-10,-0.2567,0.0228,-248.5195,13.5145,0.3363
914,AAPL130614C00435000,AAPL,2013-06-14,call,435.0,A,7.45,,7.65,,5803,1664,2013-06-10,0.6198,0.0281,-282.9207,15.9724,0.3227
915,AAPL130614P00435000,AAPL,2013-06-14,put,435.0,A,3.7,,3.8,,12536,2690,2013-06-10,-0.3822,0.0276,-287.693,15.9977,0.329
916,AAPL130614C00440000,AAPL,2013-06-14,call,440.0,A,4.7,,4.8,,16422,4783,2013-06-10,0.4729,0.0301,-288.4595,16.6937,0.315
917,AAPL130614P00440000,AAPL,2013-06-14,put,440.0,A,5.9,,6.0,,16962,3008,2013-06-10,-0.5264,0.0295,-293.052,16.6959,0.3212
918,AAPL130614C00445000,AAPL,2013-06-14,call,445.0,A,2.74,,2.8,,20724,4964,2013-06-10,0.3275,0.0275,-259.6284,15.1424,0.3127
919,AAPL130614P00445000,AAPL,2013-06-14,put,445.0,A,8.8,,9.0,,17315,2112,2013-06-10,-0.6714,0.0274,-260.4221,15.1628,0.3147
920,AAPL130614C00450000,AAPL,2013-06-14,call,450.0,A,1.44,,1.5,,32676,8049,2013-06-10,0.2039,0.0218,-202.1154,11.8827,0.3103
921,AAPL130614P00450000,AAPL,2013-06-14,put,450.0,A,12.5,,12.85,,5446,1608,2013-06-10,-0.7893,0.0216,-210.5481,12.1115,0.319
922,AAPL130614C00455000,AAPL,2013-06-14,call,455.0,A,0.71,,0.75,,22273,5056,2013-06-10,0.1162,0.015,-140.1624,8.2025,0.3118
923,AAPL130614P00455000,AAPL,2013-06-14,put,455.0,A,16.65,,17.1,,1317,617,2013-06-10,-0.8811,0.015,-142.795,8.3359,0.3153
924,AAPL130614C00460000,AAPL,2013-06-14,call,460.0,A,0.35,,0.39,,24077,6923,2013-06-10,0.0641,0.0092,-92.1133,5.2582,0.3197
925,AAPL130614P00460000,AAPL,2013-06-14,put,460.0,A,21.25,,21.7,,607,456,2013-06-10,-0.9398,0.0091,-84.717,5.0081,0.3133
926,AAPL130614C00465000,AAPL,2013-06-14,call,465.0,A,0.18,,0.21,,13383,4342,2013-06-10,0.0359,0.0057,-60.3387,3.3092,0.3328
927,AAPL130614P00465000,AAPL,2013-06-14,put,465.0,A,25.9,,26.5,,285,351,2013-06-10,-0.9722,0.0049,-44.6937,2.6778,0.3133
928,AAPL130614C00470000,AAPL,2013-06-14,call,470.0,A,0.11,,0.12,,11483,5625,2013-06-10,0.0214,0.0035,-41.2335,2.1468,0.3506
929,AAPL130614P00470000,AAPL,2013-06-14,put,470.0,A,30.8,,31.5,,186,241,2013-06-10,-0.9884,0.0023,-20.4759,1.2679,0.3133
930,AAPL130614C00475000,AAPL,2013-06-14,call,475.0,A,0.07,,0.09,,4244,3055,2013-06-10,0.0136,0.0022,-29.7559,1.4618,0.3716
931,AAPL130614P00475000,AAPL,2013-06-14,put,475.0,A,36.05,,36.45,,63,129,2013-06-10,-0.9957,0.001,-7.8594,0.5336,0.3133
932,AAPL130614C00480000,AAPL,2013-06-14,call,480.0,A,0.03,,0.09,,3786,3005,2013-06-10,0.0062,0.0011,-14.8562,0.7299,0.3716
933,AAPL130614P00480000,AAPL,2013-06-14,put,480.0,A,40.85,,41.55,,24,128,2013-06-10,-0.9985,0.0004,-2.1264,0.2004,0.3133
934,AAPL130614C00485000,AAPL,2013-06-14,call,485.0,A,0.04,,0.06,,1810,1590,2013-06-10,0.0026,0.0005,-6.858,0.3369,0.3716
935,AAPL130614P00485000,AAPL,2013-06-14,put,485.0,A,45.95,,46.45,,111,194,2013-06-10,-0.9996,0.0001,0.1703,0.0674,0.3133
936,AAPL130614C00490000,AAPL,2013-06-14,call,490.0,A,0.03,,0.05,,2325,1781,2013-06-10,0.001,0.0002,-2.9344,0.1442,0.3716
937,AAPL130614P00490000,AAPL,2013-06-14,put,490.0,A,50.85,,51.45,,30,60,2013-06-10,-0.9999,0.0,0.9913,0.0204,0.3133
