,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
816,AAPL130628C00315000,AAPL,2013-06-28,call,315.0,A,86.45,,88.05,,0,0,2013-06-24,1.0,0.0,-0.8621,0.0,0.3812
817,AAPL130628P00315000,AAPL,2013-06-28,put,315.0,A,0.0,,0.02,,200,5,2013-06-24,0.0,0.0,-0.002,0.0001,0.5199
818,AAPL130628C00320000,AAPL,2013-06-28,call,320.0,A,81.45,,83.05,,0,0,2013-06-24,1.0,0.0,-0.8758,0.0,0.3812
819,AAPL130628P00320000,AAPL,2013-06-28,put,320.0,A,0.0,,0.02,,16,12,2013-06-24,0.0,0.0,-0.0091,0.0002,0.5199
820,AAPL130628C00325000,AAPL,2013-06-28,call,325.0,A,76.45,,78.05,,0,0,2013-06-24,1.0,0.0,-0.8895,0.0,0.3812
821,AAPL130628P00325000,AAPL,2013-06-28,put,325.0,A,0.0,,0.02,,43,72,2013-06-24,0.0,0.0,-0.0368,0.0013,0.5199
822,AAPL130628C00330000,AAPL,2013-06-28,call,330.0,A,71.6,,73.05,,0,0,2013-06-24,1.0,0.0,-0.9033,0.0,0.3812
823,AAPL130628P00330000,AAPL,2013-06-28,put,330.0,A,0.02,,0.03,,42,381,2013-06-24,0.0,0.0,-0.1328,0.0047,0.5199
824,AAPL130628C00335000,AAPL,2013-06-28,call,335.0,A,66.5,,68.3,,0,0,2013-06-24,1.0,0.0,-0.9178,0.0,0.3812
825,AAPL130628P00335000,AAPL,2013-06-28,put,335.0,A,0.02,,0.04,,191,415,2013-06-24,-0.0001,0.0,-0.4285,0.0151,0.5199
826,AAPL130628C00340000,AAPL,2013-06-28,call,340.0,A,61.6,,63.1,,3,0,2013-06-24,1.0,0.0,-0.9369,0.0002,0.3812
827,AAPL130628P00340000,AAPL,2013-06-28,put,340.0,A,0.01,,0.04,,70,1200,2013-06-24,-0.0003,0.0001,-1.2435,0.0437,0.5199
828,AAPL130628C00345000,AAPL,2013-06-28,call,345.0,A,56.95,,57.95,,1,0,2013-06-24,1.0,0.0,-0.982,0.0018,0.3812
829,AAPL130628P00345000,AAPL,2013-06-28,put,345.0,A,0.02,,0.05,,291,521,2013-06-24,-0.0009,0.0001,-3.257,0.1145,0.5199
830,AAPL130628C00350000,AAPL,2013-06-28,call,350.0,A,52.05,,52.85,,16,31,2013-06-24,0.9999,0.0,-1.1454,0.009,0.3812
831,AAPL130628P00350000,AAPL,2013-06-28,put,350.0,A,0.04,,0.08,,756,384,2013-06-24,-0.0023,0.0004,-7.7317,0.2717,0.5199
832,AAPL130628C00355000,AAPL,2013-06-28,call,355.0,A,47.0,,48.0,,4,9,2013-06-24,0.9997,0.0001,-1.7524,0.0374,0.3812
833,AAPL130628P00355000,AAPL,2013-06-28,put,355.0,A,0.06,,0.08,,218,94,2013-06-24,-0.0053,0.0008,-16.7011,0.5869,0.5199
834,AAPL130628C00360000,AAPL,2013-06-28,call,360.0,A,42.1,,42.95,,0,10,2013-06-24,0.999,0.0002,-3.7324,0.1317,0.3812
835,AAPL130628P00360000,AAPL,2013-06-28,put,360.0,A,0.12,,0.14,,1048,215,2013-06-24,-0.0115,0.0015,-32.9514,1.158,0.5199
836,AAPL130628C00365000,AAPL,2013-06-28,call,365.0,A,37.15,,38.0,,5,0,2013-06-24,0.9966,0.0007,-9.2216,0.3942,0.3812
837,AAPL130628P00365000,AAPL,2013-06-28,put,365.0,A,0.16,,0.19,,1120,469,2013-06-24,-0.023,0.0027,-59.5964,2.0945,0.5199
838,AAPL130628C00370000,AAPL,2013-06-28,call,370.0,A,32.25,,33.1,,48,26,2013-06-24,0.9902,0.0018,-22.0821,1.01,0.3812
839,AAPL130628P00370000,AAPL,2013-06-28,put,370.0,A,0.23,,0.27,,1603,165,2013-06-24,-0.0334,0.004,-76.1523,2.8557,0.4873
840,AAPL130628C00375000,AAPL,2013-06-28,call,375.0,A,27.4,,28.2,,101,6,2013-06-24,0.9753,0.004,-47.525,2.2293,0.3812
841,AAPL130628P00375000,AAPL,2013-06-28,put,375.0,A,0.35,,0.39,,3538,1415,2013-06-24,-0.0496,0.0057,-98.4583,3.9451,0.4561
842,AAPL130628C00380000,AAPL,2013-06-28,call,380.0,A,22.65,,23.3,,155,121,2013-06-24,0.9453,0.0076,-89.9327,4.2621,0.3812
843,AAPL130628P00380000,AAPL,2013-06-28,put,380.0,A,0.6,,0.63,,4575,1080,2013-06-24,-0.0797,0.0089,-135.8218,5.704,0.4352
844,AAPL130628C00385000,AAPL,2013-06-28,call,385.0,A,18.0,,18.55,,1224,23,2013-06-24,0.8983,0.0124,-140.1823,6.8367,0.372
845,AAPL130628P00385000,AAPL,2013-06-28,put,385.0,A,0.95,,1.06,,7115,1307,2013-06-24,-0.1252,0.013,-179.063,7.9272,0.4129
846,AAPL130628C00390000,AAPL,2013-06-28,call,390.0,A,13.65,,14.25,,1341,41,2013-06-24,0.8212,0.0185,-203.0133,10.0521,0.3673
847,AAPL130628P00390000,AAPL,2013-06-28,put,390.0,A,1.58,,1.66,,10215,1386,2013-06-24,-0.1923,0.0182,-224.1289,10.5175,0.3896
848,AAPL130628C00395000,AAPL,2013-06-28,call,395.0,A,9.85,,10.25,,1980,112,2013-06-24,0.715,0.0245,-257.9658,13.0604,0.3597
849,AAPL130628P00395000,AAPL,2013-06-28,put,395.0,A,2.68,,2.81,,13278,2267,2013-06-24,-0.2939,0.0237,-273.9498,13.2497,0.3781
850,AAPL130628C00400000,AAPL,2013-06-28,call,400.0,A,6.7,,6.85,,11910,773,2013-06-24,0.5813,0.0287,-291.295,15.0272,0.3533
851,AAPL130628P00400000,AAPL,2013-06-28,put,400.0,A,4.35,,4.5,,22602,4050,2013-06-24,-0.4212,0.0277,-301.517,15.046,0.3666
852,AAPL130628C00405000,AAPL,2013-06-28,call,405.0,A,4.1,,4.25,,15733,1028,2013-06-24,0.4335,0.0296,-286.3036,15.1327,0.3449
853,AAPL130628P00405000,AAPL,2013-06-28,put,405.0,A,6.8,,7.0,,11934,4426,2013-06-24,-0.5626,0.0282,-300.7716,15.1575,0.3632
854,AAPL130628C00410000,AAPL,2013-06-28,call,410.0,A,2.4,,2.47,,16224,2105,2013-06-24,0.2953,0.0259,-251.953,13.2796,0.3461
855,AAPL130628P00410000,AAPL,2013-06-28,put,410.0,A,9.95,,10.4,,5682,4416,2013-06-24,-0.6932,0.0248,-270.9871,13.5111,0.3674
856,AAPL130628C00415000,AAPL,2013-06-28,call,415.0,A,1.25,,1.34,,15431,2851,2013-06-24,0.1821,0.0199,-192.2553,10.1679,0.3449
857,AAPL130628P00415000,AAPL,2013-06-28,put,415.0,A,13.8,,14.25,,1425,3392,2013-06-24,-0.7997,0.0196,-218.2896,10.7803,0.3714
858,AAPL130628C00420000,AAPL,2013-06-28,call,420.0,A,0.66,,0.7,,16121,4487,2013-06-24,0.1067,0.0136,-136.5241,7.0761,0.3521
859,AAPL130628P00420000,AAPL,2013-06-28,put,420.0,A,18.05,,18.7,,1204,3244,2013-06-24,-0.8743,0.0141,-164.856,7.9496,0.3811
860,AAPL130628C00425000,AAPL,2013-06-28,call,425.0,A,0.35,,0.38,,9606,4837,2013-06-24,0.0612,0.0087,-92.7563,4.6561,0.3636
861,AAPL130628P00425000,AAPL,2013-06-28,put,425.0,A,22.75,,23.4,,354,2408,2013-06-24,-0.9169,0.0098,-129.3439,5.8874,0.4046
862,AAPL130628C00430000,AAPL,2013-06-28,call,430.0,A,0.17,,0.19,,7142,3970,2013-06-24,0.0329,0.0051,-57.4355,2.8221,0.3715
863,AAPL130628P00430000,AAPL,2013-06-28,put,430.0,A,27.4,,28.25,,341,1205,2013-06-24,-0.9542,0.0062,-80.8347,3.7,0.4046
864,AAPL130628C00435000,AAPL,2013-06-28,call,435.0,A,0.1,,0.11,,2695,9592,2013-06-24,0.0174,0.0028,-34.5998,1.6569,0.3812
